PS D:\photogrpahy web\wetransfer_pics-for-website_2026-09-08_0523\Gallery> python ratio.py
Enter the path to your image folder: Travel
Filename                       | Dimensions   | Exact Ratio  | Decimal
---------------------------------------------------------------------------
1.jpg                          | 1400x931     | 200:133      | 1.5:1
10 A.jpg                       | 1400x927     | 1400:927     | 1.51:1
10.jpg                         | 1400x935     | 280:187      | 1.5:1
11.jpg                         | 933x1400     | 933:1400     | 0.67:1
12.jpg                         | 933x1400     | 933:1400     | 0.67:1
13.jpg                         | 935x1400     | 187:280      | 0.67:1
14.jpg                         | 1400x935     | 280:187      | 1.5:1
15.jpg                         | 1400x933     | 1400:933     | 1.5:1
16.jpg                         | 1400x930     | 140:93       | 1.51:1
17.jpg                         | 1400x913     | 1400:913     | 1.53:1
18.jpg                         | 1400x931     | 200:133      | 1.5:1
19.jpg                         | 1400x935     | 280:187      | 1.5:1
2.jpg                          | 1400x930     | 140:93       | 1.51:1
20.jpg                         | 1400x935     | 280:187      | 1.5:1
21.jpg                         | 1400x933     | 1400:933     | 1.5:1
22.jpg                         | 1400x933     | 1400:933     | 1.5:1
24.jpg                         | 1400x979     | 1400:979     | 1.43:1
25.jpg                         | 933x1400     | 933:1400     | 0.67:1
26.jpg                         | 1400x930     | 140:93       | 1.51:1
3.jpg                          | 1400x930     | 140:93       | 1.51:1
4.jpg                          | 1400x935     | 280:187      | 1.5:1
5.jpg                          | 1400x935     | 280:187      | 1.5:1
6.jpg                          | 1400x935     | 280:187      | 1.5:1
7.jpg                          | 1400x935     | 280:187      | 1.5:1
8.jpg                          | 1400x927     | 1400:927     | 1.51:1
9.jpg                          | 1400x927     | 1400:927     | 1.51:1
PS D:\photogrpahy web\wetransfer_pics-for-website_2026-09-08_0523\Gallery> python ratio.py
Enter the path to your image folder: Theyyam
Filename                       | Dimensions   | Exact Ratio  | Decimal
---------------------------------------------------------------------------
1.jpg                          | 935x1400     | 187:280      | 0.67:1
13.jpg                         | 1400x947     | 1400:947     | 1.48:1
14.jpg                         | 1400x933     | 1400:933     | 1.5:1
15.jpg                         | 1400x933     | 1400:933     | 1.5:1
16.jpg                         | 1400x1400    | 1:1          | 1.0:1
17.jpg                         | 1400x933     | 1400:933     | 1.5:1
18.jpg                         | 933x1400     | 933:1400     | 0.67:1
2.jpg                          | 1400x933     | 1400:933     | 1.5:1
3.jpg                          | 1400x935     | 280:187      | 1.5:1
4.jpg                          | 1400x935     | 280:187      | 1.5:1
5.jpg                          | 933x1400     | 933:1400     | 0.67:1
6.jpg                          | 1400x933     | 1400:933     | 1.5:1
7.jpg                          | 1400x933     | 1400:933     | 1.5:1
PS D:\photogrpahy web\wetransfer_pics-for-website_2026-09-08_0523\Gallery> python ratio.py
Enter the path to your image folder: Holi
Filename                       | Dimensions   | Exact Ratio  | Decimal
---------------------------------------------------------------------------
1.jpg                          | 1400x930     | 140:93       | 1.51:1
10.jpg                         | 930x1400     | 93:140       | 0.66:1
11.jpg                         | 935x1400     | 187:280      | 0.67:1
12.jpg                         | 1000x1400    | 5:7          | 0.71:1
13.jpg                         | 1400x935     | 280:187      | 1.5:1
14.jpg                         | 1400x935     | 280:187      | 1.5:1
15.jpg                         | 1400x935     | 280:187      | 1.5:1
16.jpg                         | 1400x935     | 280:187      | 1.5:1
17.jpg                         | 1400x935     | 280:187      | 1.5:1
18.jpg                         | 1400x935     | 280:187      | 1.5:1
19.jpg                         | 1400x935     | 280:187      | 1.5:1
2.jpg                          | 1400x930     | 140:93       | 1.51:1
20.jpg                         | 1400x935     | 280:187      | 1.5:1
21.jpg                         | 1400x933     | 1400:933     | 1.5:1
22.jpg                         | 1400x935     | 280:187      | 1.5:1
23.jpg                         | 1400x935     | 280:187      | 1.5:1
24.jpg                         | 1400x935     | 280:187      | 1.5:1
